stage_id,lead_time,max_s_time,cost_rate,risk_pool,ext_demand_mean,ext_demand_std,ext_demand_thres,up_stages
Dist_0001,1,5,2.0,,2447.27,2542.55,1.751,Manuf_0002,1
Dist_0002,9,5,2.65,,2444.35,3214.87,1.751,Manuf_0002,1
Dist_0003,4,5,34.36,,1001.02,1687.46,1.751,Manuf_0002,1
Dist_0004,2,3,1.0,,18.0,21.23,2.054,Manuf_0003,1
Dist_0005,6,3,35.37,,19.29,15.65,2.054,Manuf_0003,1
Dist_0006,5,3,1.0,,20.0,13.0,2.054,Manuf_0003,1
Dist_0007,2,3,1.0,,93.23,116.31,2.054,Manuf_0004,1
Dist_0008,9,3,11.08,,20.81,56.54,2.054,Manuf_0004,1
Dist_0009,5,3,2.0,,16.55,15.35,2.054,Manuf_0004,1
Dist_0010,2,3,2.0,,30.37,35.58,2.054,Manuf_0005,1
Dist_0011,9,3,15.26,,13.0,19.0,2.054,Manuf_0005,1
Dist_0012,5,3,1.0,,17.0,15.0,2.054,Manuf_0005,1
Dist_0013,1,3,1.0,,20.46,24.65,2.054,Manuf_0006,1
Dist_0014,7,3,203.87,,15.0,17.0,2.054,Manuf_0006,1
Dist_0015,6,3,93.99,,14.0,18.0,2.054,Manuf_0006,1
Dist_0016,1,3,2.0,,20.52,24.95,2.054,Manuf_0007,1
Dist_0017,10,3,165.97,,15.0,17.0,2.054,Manuf_0007,1
Dist_0018,5,3,52.41,,17.0,19.0,2.054,Manuf_0007,1
Dist_0019,2,3,2.0,,12.0,17.0,2.054,Manuf_0008,1
Dist_0020,6,3,8.94999999999999,,16.0,11.0,2.054,Manuf_0008,1
Dist_0021,6,3,3.67,,22.4,23.91,2.054,Manuf_0008,1
Dist_0022,1,3,1.0,,26.15,32.35,2.054,Manuf_0009,1
Dist_0023,5,3,7.73,,18.26,24.25,2.054,Manuf_0009,1
Dist_0024,4,3,4.53,,16.07,21.0,2.054,Manuf_0009,1
Dist_0025,1,3,1.0,,15.6,19.56,2.054,Manuf_0010,1
Dist_0026,7,3,39.58,,18.85,21.49,2.054,Manuf_0010,1
Dist_0027,5,3,18.69,,14.57,17.7,2.054,Manuf_0010,1
Dist_0028,1,3,2.0,,15.0,19.0,2.054,Manuf_0011,1
Dist_0029,6,3,17.62,,11.0,15.0,2.054,Manuf_0011,1
Dist_0030,5,3,152.18,,65.31,34.63,2.054,Manuf_0011,1
Dist_0031,1,3,1.0,,12.5,14.19,2.054,Manuf_0012,1
Dist_0032,8,3,40.03,,16.61,19.23,2.054,Manuf_0012,1
Dist_0033,5,3,23.37,,10.23,16.96,2.054,Manuf_0012,1
Dist_0034,2,3,2.0,,94.02,82.16,2.054,Manuf_0013,1
Dist_0035,6,3,17.37,,22.6,34.22,2.054,Manuf_0013,1
Dist_0036,6,3,11.91,,18.85,21.71,2.054,Manuf_0013,1
Dist_0037,2,3,1.0,,121.45,78.86,2.054,Manuf_0014,1
Dist_0038,7,3,14.64,,33.91,57.07,2.054,Manuf_0014,1
Dist_0039,4,3,168.66,,16.29,30.86,2.054,Manuf_0014,1
Dist_0040,2,3,2.0,,19.56,16.04,2.054,Manuf_0015,1
Dist_0041,8,3,50.86,,18.29,13.59,2.054,Manuf_0015,1
Dist_0042,4,3,164.5,,15.99,15.36,2.054,Manuf_0015,1
Dist_0043,1,3,1.0,,14.3,21.87,2.054,Manuf_0016,1
Dist_0044,9,3,43.01,,20.13,12.14,2.054,Manuf_0016,1
Dist_0045,4,3,12.65,,10.74,20.18,2.054,Manuf_0016,1
Dist_0046,1,3,1.0,,20.12,18.36,2.054,Manuf_0017,1
Dist_0047,6,3,24.87,,17.28,21.2,2.054,Manuf_0017,1
Dist_0048,3,3,1.0,,11.0,16.0,2.054,Manuf_0017,1
Dist_0049,2,3,1.0,,16.82,31.95,2.054,Manuf_0018,1
Dist_0050,10,3,13.21,,24.29,26.61,2.054,Manuf_0018,1
Dist_0051,3,3,2.1,,14.19,14.33,2.054,Manuf_0018,1
Dist_0052,2,3,2.0,,16.24,17.45,2.054,Manuf_0019,1
Dist_0053,9,3,31.79,,17.0,18.0,2.054,Manuf_0019,1
Dist_0054,5,3,1.99,,17.21,15.92,2.054,Manuf_0019,1
Dist_0055,1,3,1.0,,20.1,22.93,2.054,Manuf_0020,1
Dist_0056,9,3,7.71,,17.53,20.59,2.054,Manuf_0020,1
Dist_0057,6,3,2.0,,19.0,18.73,2.054,Manuf_0020,1
Dist_0058,1,3,2.0,,82.65,45.84,2.054,Manuf_0021,1
Dist_0059,9,3,12.12,,20.7,31.46,2.054,Manuf_0021,1
Dist_0060,5,3,1.0,,11.0,14.0,2.054,Manuf_0021,1
Dist_0061,1,3,2.0,,25.31,16.99,2.054,Manuf_0022,1
Dist_0062,5,3,57.9,,18.15,17.05,2.054,Manuf_0022,1
Dist_0063,4,3,21.96,,16.0,19.0,2.054,Manuf_0022,1
Dist_0064,1,3,2.0,,19.95,13.41,2.054,Manuf_0023,1
Dist_0065,7,3,52.54,,16.0,20.1,2.054,Manuf_0023,1
Dist_0066,6,3,9.27,,15.53,18.77,2.054,Manuf_0023,1
Dist_0067,1,3,2.0,,17.81,15.57,2.054,Manuf_0024,1
Dist_0068,7,3,57.86,,22.83,15.16,2.054,Manuf_0024,1
Dist_0069,5,3,30.03,,13.0,17.65,2.054,Manuf_0024,1
Dist_0070,1,3,1.0,,20.62,15.78,2.054,Manuf_0025,1
Dist_0071,5,3,13.51,,24.62,19.64,2.054,Manuf_0025,1
Dist_0072,6,3,16.07,,17.07,20.37,2.054,Manuf_0025,1
Dist_0073,2,3,2.0,,181.61,121.63,2.054,Manuf_0026,1
Dist_0074,8,3,5.49,,50.98,47.03,2.054,Manuf_0026,1
Dist_0075,4,3,15.71,,19.3,29.56,2.054,Manuf_0026,1
Dist_0076,1,3,2.0,,17.04,15.62,2.054,Manuf_0027,1
Dist_0077,6,3,28.09,,20.03,14.84,2.054,Manuf_0027,1
Dist_0078,5,3,49.98,,11.48,18.88,2.054,Manuf_0027,1
Dist_0079,2,3,2.0,,15.1,14.68,2.054,Manuf_0028,1
Dist_0080,7,3,12.5,,18.68,13.5,2.054,Manuf_0028,1
Dist_0081,5,3,17.38,,12.91,17.99,2.054,Manuf_0028,1
Dist_0082,1,3,1.0,,14.72,15.52,2.054,Manuf_0029,1
Dist_0083,10,3,21.06,,18.69,20.35,2.054,Manuf_0029,1
Dist_0084,5,3,41.72,,17.05,21.6,2.054,Manuf_0029,1
Dist_0085,1,3,1.0,,14.53,21.52,2.054,Manuf_0030,1
Dist_0086,8,3,44.85,,17.66,11.5,2.054,Manuf_0030,1
Dist_0087,6,3,17.14,,19.0,18.0,2.054,Manuf_0030,1
Dist_0088,1,3,2.0,,14.06,12.72,2.054,Manuf_0031,1
Dist_0089,7,3,186.53,,17.0,18.0,2.054,Manuf_0031,1
Dist_0090,4,3,23.45,,14.0,16.0,2.054,Manuf_0031,1
Dist_0091,1,3,2.0,,12.98,19.41,2.054,Manuf_0032,1
Dist_0092,6,3,16.07,,30.94,18.96,2.054,Manuf_0032,1
Dist_0093,4,3,10.86,,17.17,16.56,2.054,Manuf_0032,1
Manuf_0001,1,,1.93,2,,,,Part_0001,1,Part_0002,1,Part_0003,1,Part_0004,1,Part_0005,1,Part_0006,1,Part_0007,1,Part_0008,1,Part_0009,1,Part_0010,1
