stage_id,lead_time,max_s_time,cost_rate,risk_pool,ext_demand_mean,ext_demand_std,ext_demand_thres,up_stages
Dist_0001,2.0,,0.124,2,,,,Trans_0083,1
Dist_0002,2.0,,0.1458,2,,,,Trans_0084,1
Dist_0003,2.0,,0.1356,2,,,,Trans_0085,1
Dist_0004,2.0,,0.1661,2,,,,Trans_0086,1
Dist_0005,2.0,,0.141,2,,,,Trans_0087,1
Dist_0006,2.0,,0.0733,2,,,,Trans_0088,1
Dist_0007,2.0,,0.0704,2,,,,Trans_0089,1
Dist_0008,2.0,,0.0758,2,,,,Trans_0090,1
Dist_0009,2.0,,0.0863,2,,,,Trans_0091,1
Dist_0010,2.0,,0.0645,2,,,,Trans_0092,1
Dist_0011,2.0,,0.0645,2,,,,Trans_0093,1
Dist_0012,2.0,,0.0733,2,,,,Trans_0094,1
Dist_0013,2.0,,0.0704,2,,,,Trans_0095,1
Dist_0014,2.0,,0.0758,2,,,,Trans_0096,1
Dist_0015,2.0,,0.0863,2,,,,Trans_0097,1
Dist_0016,2.0,,0.0645,2,,,,Trans_0098,1
Dist_0017,2.0,,0.0758,2,,,,Trans_0099,1
Dist_0018,2.0,,0.0704,2,,,,Trans_0100,1
Dist_0019,2.0,,0.0863,2,,,,Trans_0101,1
Dist_0020,2.0,,0.0733,2,,,,Trans_0102,1
Dist_0021,2.0,,0.0645,2,,,,Trans_0103,1
Dist_0022,2.0,,0.0758,2,,,,Trans_0104,1
Dist_0023,2.0,,0.0704,2,,,,Trans_0105,1
Dist_0024,2.0,,0.0863,2,,,,Trans_0106,1
Dist_0025,2.0,,0.0733,2,,,,Trans_0107,1
Dist_0026,2.0,,0.0645,2,,,,Trans_0108,1
Dist_0027,2.0,,0.0758,2,,,,Trans_0109,1
Dist_0028,2.0,,0.0704,2,,,,Trans_0110,1
Dist_0029,2.0,,0.0863,2,,,,Trans_0111,1
Dist_0030,2.0,,0.0733,2,,,,Trans_0112,1
Dist_0031,2.0,,0.0878,2,,,,Trans_0113,1
Dist_0032,2.0,,0.1033,2,,,,Trans_0114,1
Dist_0033,2.0,,0.096,2,,,,Trans_0115,1
Dist_0034,2.0,,0.1176,2,,,,Trans_0116,1
Dist_0035,2.0,,0.0999,2,,,,Trans_0117,1
Dist_0036,2.0,,0.124,2,,,,Trans_0118,1
Dist_0037,2.0,,0.1458,2,,,,Trans_0119,1
Dist_0038,2.0,,0.1356,2,,,,Trans_0120,1
Dist_0039,2.0,,0.1661,2,,,,Trans_0121,1
Dist_0040,2.0,,0.141,2,,,,Trans_0122,1
Dist_0041,2.0,,0.124,2,,,,Trans_0123,1
Dist_0042,2.0,,0.1458,2,,,,Trans_0124,1
Dist_0043,2.0,,0.1356,2,,,,Trans_0125,1
Dist_0044,2.0,,0.1661,2,,,,Trans_0126,1
Dist_0045,2.0,,0.141,2,,,,Trans_0127,1
Dist_0046,2.0,,0.094,2,,,,Trans_0128,1
Dist_0047,2.0,,0.1105,2,,,,Trans_0129,1
Dist_0048,2.0,,0.1028,2,,,,Trans_0130,1
Dist_0049,2.0,,0.1259,2,,,,Trans_0131,1
Dist_0050,2.0,,0.1069,2,,,,Trans_0132,1
Dist_0051,2.0,,0.0645,2,,,,Trans_0133,1
Dist_0052,2.0,,0.0758,2,,,,Trans_0134,1
Dist_0053,2.0,,0.0704,2,,,,Trans_0135,1
Dist_0054,2.0,,0.0863,2,,,,Trans_0136,1
Dist_0055,2.0,,0.0733,2,,,,Trans_0137,1
Dist_0056,2.0,,0.0887,2,,,,Trans_0138,1
Dist_0057,2.0,,0.1043,2,,,,Trans_0139,1
Dist_0058,2.0,,0.0969,2,,,,Trans_0140,1
Dist_0059,2.0,,0.1188,2,,,,Trans_0141,1
Dist_0060,2.0,,0.1009,2,,,,Trans_0142,1
Dist_0061,2.0,,0.124,2,,,,Trans_0143,1
Dist_0062,2.0,,0.1458,2,,,,Trans_0144,1
Dist_0063,2.0,,0.1356,2,,,,Trans_0145,1
Dist_0064,2.0,,0.1661,2,,,,Trans_0146,1
Dist_0065,2.0,,0.141,2,,,,Trans_0147,1
Dist_0066,2.0,,0.0878,2,,,,Trans_0148,1
Dist_0067,2.0,,0.1033,2,,,,Trans_0149,1
Dist_0068,2.0,,0.096,2,,,,Trans_0150,1
Dist_0069,2.0,,0.1176,2,,,,Trans_0151,1
Dist_0070,2.0,,0.0999,2,,,,Trans_0152,1
Dist_0071,2.0,,0.0645,2,,,,Trans_0153,1
Dist_0072,2.0,,0.0758,2,,,,Trans_0154,1
Dist_0073,2.0,,0.0704,2,,,,Trans_0155,1
Dist_0074,2.0,,0.0863,2,,,,Trans_0156,1
Dist_0075,2.0,,0.0733,2,,,,Trans_0157,1
Dist_0076,2.0,,0.0878,2,,,,Trans_0158,1
Dist_0077,2.0,,0.1033,2,,,,Trans_0159,1
Dist_0078,2.0,,0.096,2,,,,Trans_0160,1
Dist_0079,2.0,,0.1176,2,,,,Trans_0161,1
Dist_0080,2.0,,0.0999,2,,,,Trans_0162,1
Dist_0081,2.0,,0.094,2,,,,Trans_0163,1
Dist_0082,2.0,,0.1105,2,,,,Trans_0164,1
Dist_0083,2.0,,0.1028,2,,,,Trans_0165,1
Dist_0084,2.0,,0.1259,2,,,,Trans_0166,1
Dist_0085,2.0,,0.1069,2,,,,Trans_0167,1
Dist_0086,2.0,,0.124,2,,,,Trans_0168,1
Dist_0087,2.0,,0.1458,2,,,,Trans_0169,1
Dist_0088,2.0,,0.1356,2,,,,Trans_0170,1
Dist_0089,2.0,,0.1661,2,,,,Trans_0171,1
Dist_0090,2.0,,0.141,2,,,,Trans_0172,1
Dist_0091,2.0,,0.0878,2,,,,Trans_0173,1
Dist_0092,2.0,,0.1033,2,,,,Trans_0174,1
Dist_0093,2.0,,0.096,2,,,,Trans_0175,1
Dist_0094,2.0,,0.1176,2,,,,Trans_0176,1
Dist_0095,2.0,,0.0999,2,,,,Trans_0177,1
Dist_0096,2.0,,0.0645,2,,,,Trans_0178,1
Dist_0097,2.0,,0.0758,2,,,,Trans_0179,1
Dist_0098,2.0,,0.0704,2,,,,Trans_0180,1
Dist_0099,2.0,,0.0863,2,,,,Trans_0181,1
Dist_0100,2.0,,0.0733,2,,,,Trans_0182,1
Dist_0101,2.0,,0.094,2,,,,Trans_0183,1
Dist_0102,2.0,,0.1105,2,,,,Trans_0184,1
Dist_0103,2.0,,0.1028,2,,,,Trans_0185,1
Dist_0104,2.0,,0.1259,2,,,,Trans_0186,1
Dist_0105,2.0,,0.1069,2,,,,Trans_0187,1
Dist_0106,2.0,,0.094,2,,,,Trans_0188,1
Dist_0107,2.0,,0.1105,2,,,,Trans_0189,1
Dist_0108,2.0,,0.1028,2,,,,Trans_0190,1
Dist_0109,2.0,,0.1259,2,,,,Trans_0191,1
Dist_0110,2.0,,0.1069,2,,,,Trans_0192,1
Dist_0111,2.0,,0.0887,2,,,,Trans_0193,1
Dist_0112,2.0,,0.1043,2,,,,Trans_0194,1
Dist_0113,2.0,,0.0969,2,,,,Trans_0195,1
Dist_0114,2.0,,0.1188,2,,,,Trans_0196,1
Dist_0115,2.0,,0.1009,2,,,,Trans_0197,1
Dist_0116,2.0,,0.0645,2,,,,Trans_0198,1
Dist_0117,2.0,,0.0758,2,,,,Trans_0199,1
Dist_0118,2.0,,0.0704,2,,,,Trans_0200,1
Dist_0119,2.0,,0.0863,2,,,,Trans_0201,1
Dist_0120,2.0,,0.0733,2,,,,Trans_0202,1
Dist_0121,2.0,,0.0645,2,,,,Trans_0203,1
Dist_0122,2.0,,0.0758,2,,,,Trans_0204,1
Dist_0123,2.0,,0.0704,2,,,,Trans_0205,1
Dist_0124,2.0,,0.0863,2,,,,Trans_0206,1
Dist_0125,2.0,,0.0733,2,,,,Trans_0207,1
Dist_0126,2.0,,0.0887,2,,,,Trans_0208,1
Dist_0127,2.0,,0.1043,2,,,,Trans_0209,1
Dist_0128,2.0,,0.0969,2,,,,Trans_0210,1
Dist_0129,2.0,,0.1188,2,,,,Trans_0211,1
Dist_0130,2.0,,0.1009,2,,,,Trans_0212,1
Dist_0131,2.0,,0.124,2,,,,Trans_0213,1
Dist_0132,2.0,,0.1458,2,,,,Trans_0214,1
Dist_0133,2.0,,0.1356,2,,,,Trans_0215,1
Dist_0134,2.0,,0.1661,2,,,,Trans_0216,1
Dist_0135,2.0,,0.141,2,,,,Trans_0217,1
Dist_0136,2.0,,0.094,2,,,,Trans_0218,1
Dist_0137,2.0,,0.1105,2,,,,Trans_0219,1
Dist_0138,2.0,,0.1028,2,,,,Trans_0220,1
Dist_0139,2.0,,0.1259,2,,,,Trans_0221,1
Dist_0140,2.0,,0.1069,2,,,,Trans_0222,1
Dist_0141,2.0,,0.0878,2,,,,Trans_0223,1
Dist_0142,2.0,,0.1033,2,,,,Trans_0224,1
Dist_0143,2.0,,0.096,2,,,,Trans_0225,1
Dist_0144,2.0,,0.1176,2,,,,Trans_0226,1
Dist_0145,2.0,,0.0999,2,,,,Trans_0227,1
Dist_0146,2.0,,0.094,2,,,,Trans_0228,1
Dist_0147,2.0,,0.1105,2,,,,Trans_0229,1
Dist_0148,2.0,,0.1028,2,,,,Trans_0230,1
Dist_0149,2.0,,0.1259,2,,,,Trans_0231,1
Dist_0150,2.0,,0.1069,2,,,,Trans_0232,1
Dist_0151,2.0,,0.124,2,,,,Trans_0233,1
Dist_0152,2.0,,0.1458,2,,,,Trans_0234,1
Dist_0153,2.0,,0.1356,2,,,,Trans_0235,1
Dist_0154,2.0,,0.1661,2,,,,Trans_0236,1
Dist_0155,2.0,,0.141,2,,,,Trans_0237,1
Dist_0156,2.0,,0.0645,2,,,,Trans_0238,1
Dist_0157,2.0,,0.0758,2,,,,Trans_0239,1
Dist_0158,2.0,,0.0704,2,,,,Trans_0240,1
Dist_0159,2.0,,0.0863,2,,,,Trans_0241,1
Dist_0160,2.0,,0.0733,2,,,,Trans_0242,1
Dist_0161,2.0,,0.094,2,,,,Trans_0243,1
Dist_0162,2.0,,0.1105,2,,,,Trans_0244,1
Dist_0163,2.0,,0.1028,2,,,,Trans_0245,1
Dist_0164,2.0,,0.1259,2,,,,Trans_0246,1
Dist_0165,2.0,,0.1069,2,,,,Trans_0247,1
Dist_0166,2.0,,0.124,2,,,,Trans_0248,1
Dist_0167,2.0,,0.1458,2,,,,Trans_0249,1
Dist_0168,2.0,,0.1356,2,,,,Trans_0250,1
Dist_0169,2.0,,0.1661,2,,,,Trans_0251,1
Dist_0170,2.0,,0.141,2,,,,Trans_0252,1
Dist_0171,2.0,,0.124,2,,,,Trans_0253,1
Dist_0172,2.0,,0.1458,2,,,,Trans_0254,1
Dist_0173,2.0,,0.1356,2,,,,Trans_0255,1
Dist_0174,2.0,,0.1661,2,,,,Trans_0256,1
Dist_0175,2.0,,0.141,2,,,,Trans_0257,1
Dist_0176,2.0,,0.1028,2,,,,Trans_0258,1
Dist_0177,2.0,,0.094,2,,,,Trans_0259,1
Dist_0178,2.0,,0.1105,2,,,,Trans_0260,1
Dist_0179,2.0,,0.1259,2,,,,Trans_0261,1
Dist_0180,2.0,,0.1069,2,,,,Trans_0262,1
Dist_0181,2.0,,0.124,2,,,,Trans_0263,1
Dist_0182,2.0,,0.1458,2,,,,Trans_0264,1
Dist_0183,2.0,,0.1356,2,,,,Trans_0265,1
Dist_0184,2.0,,0.1661,2,,,,Trans_0266,1
Dist_0185,2.0,,0.141,2,,,,Trans_0267,1
Dist_0186,2.0,,0.1458,2,,,,Trans_0268,1
Dist_0187,2.0,,0.1356,2,,,,Trans_0269,1
Dist_0188,2.0,,0.1661,2,,,,Trans_0270,1
Dist_0189,2.0,,0.141,2,,,,Trans_0271,1
Dist_0190,2.0,,0.124,2,,,,Trans_0272,1
Dist_0191,0.0,6,0.0,,0.0,0.0,2.170,Dist_0001,1
Dist_0192,0.0,6,0.0,,0.0,0.0,2.170,Dist_0002,1
Dist_0193,0.0,6,0.0,,0.0,0.0,2.170,Dist_0003,1
Dist_0194,0.0,6,0.0,,0.0,0.0,2.170,Dist_0004,1
Dist_0195,0.0,6,0.0,,0.0,0.0,2.170,Dist_0005,1
Dist_0196,3.1,0,0.1131,,2.0,1.0,2.170,Dist_0006,1
Dist_0197,2.65,0,0.1212,,1.2,0.6,2.170,Dist_0006,1
Dist_0198,2.88,0,0.1134,,1.6,0.8,2.170,Dist_0006,1
Dist_0199,0.0,6,0.0,,85.57,93.09,2.170,Dist_0006,1
Dist_0200,0.0,6,0.0,,67.38,111.49,2.170,Dist_0007,1
Dist_0201,3.45,0,0.1478,,2.0,1.0,2.170,Dist_0007,1
Dist_0202,3.55,0,0.1935,,1.6,0.8,2.170,Dist_0007,1
Dist_0203,0.0,6,0.0,,50.72,78.01,2.170,Dist_0008,1
Dist_0204,0.0,6,0.0,,126.37,249.45,2.170,Dist_0009,1
Dist_0205,0.0,6,0.0,,237.82,286.47,2.170,Dist_0010,1
Dist_0206,3.06,0,0.1241,,9.2,4.6,2.170,Dist_0010,1
Dist_0207,2.54,0,0.1038,,6.4,3.2,2.170,Dist_0010,1
Dist_0208,2.7,0,0.1188,,3.2,1.6,2.170,Dist_0010,1
Dist_0209,2.21,0,0.1122,,13.2,6.6,2.170,Dist_0010,1
Dist_0210,2.7,0,0.1188,,8.0,4.0,2.170,Dist_0011,1
Dist_0211,2.21,0,0.1122,,26.8,13.4,2.170,Dist_0011,1
Dist_0212,2.54,0,0.1038,,8.8,4.4,2.170,Dist_0011,1
Dist_0213,3.06,0,0.1241,,22.0,11.0,2.170,Dist_0011,1
Dist_0214,0.0,6,0.0,,949.38,479.56,2.170,Dist_0011,1
Dist_0215,0.0,6,0.0,,563.94,180.95,2.170,Dist_0012,1
Dist_0216,2.88,0,0.1134,,3.6,1.8,2.170,Dist_0012,1
Dist_0217,2.65,0,0.1212,,2.4,1.2,2.170,Dist_0012,1
Dist_0218,3.1,0,0.1131,,4.4,2.2,2.170,Dist_0012,1
Dist_0219,3.55,0,0.1935,,4.4,2.2,2.170,Dist_0013,1
Dist_0220,0.0,6,0.0,,702.46,344.31,2.170,Dist_0013,1
Dist_0221,3.45,0,0.1478,,5.6,2.8,2.170,Dist_0013,1
Dist_0222,0.0,6,0.0,,297.29,197.17,2.170,Dist_0014,1
Dist_0223,0.0,6,0.0,,363.83,308.34,2.170,Dist_0015,1
Dist_0224,0.0,6,0.0,,396.51,366.88,2.170,Dist_0016,1
Dist_0225,3.06,0,0.1241,,22.0,11.0,2.170,Dist_0016,1
Dist_0226,2.54,0,0.1038,,3.6,1.8,2.170,Dist_0016,1
Dist_0227,2.21,0,0.1122,,26.4,13.2,2.170,Dist_0016,1
Dist_0228,2.7,0,0.1188,,7.6,3.8,2.170,Dist_0016,1
Dist_0229,0.0,6,0.0,,117.2,265.74,2.170,Dist_0017,1
Dist_0230,3.55,0,0.1935,,4.4,2.2,2.170,Dist_0018,1
Dist_0231,3.45,0,0.1478,,5.2,2.6,2.170,Dist_0018,1
Dist_0232,0.0,6,0.0,,233.51,436.56,2.170,Dist_0018,1
Dist_0233,0.0,6,0.0,,0.0,0.0,2.170,Dist_0019,1
Dist_0234,0.0,6,0.0,,225.38,308.53,2.170,Dist_0020,1
Dist_0235,2.88,0,0.1134,,3.6,1.8,2.170,Dist_0020,1
Dist_0236,2.65,0,0.1212,,2.8,1.4,2.170,Dist_0020,1
Dist_0237,3.1,0,0.1131,,4.4,2.2,2.170,Dist_0020,1
Dist_0238,0.0,6,0.0,,113.31,192.56,2.170,Dist_0021,1
Dist_0239,0.0,0,0.1241,,5.6,2.8,2.170,Dist_0021,1
