stage_id,lead_time,max_s_time,cost_rate,risk_pool,ext_demand_mean,ext_demand_std,ext_demand_thres,up_stages
Dist_0001,7.0,,1.31,2,,,,Part_0001,1
Dist_0002,5.0,,1.18,2,,,,Part_0001,1
Dist_0003,6.0,,1.88,2,,,,Part_0001,1
Dist_0004,6.0,,1.61,2,,,,Part_0001,1
Dist_0005,7.0,,1.93,2,,,,Part_0001,1
Dist_0006,7.0,,1.89,2,,,,Part_0001,1
Dist_0007,7.0,,1.84,2,,,,Part_0001,1
Dist_0008,6.0,,1.91,2,,,,Part_0001,1
Dist_0009,5.0,,1.57,2,,,,Part_0001,1
Dist_0010,5.0,,1.44,2,,,,Part_0001,1
Dist_0011,5.0,,1.21,2,,,,Part_0001,1
Dist_0012,7.0,,1.67,2,,,,Part_0001,1
Dist_0013,5.0,,1.66,2,,,,Part_0001,1
Dist_0014,6.0,,1.38,2,,,,Part_0001,1
Dist_0015,37.15,,1.86,2,,,,Part_0001,1
Dist_0016,7.0,,1.64,2,,,,Part_0001,1
Dist_0017,5.0,,1.48,2,,,,Part_0001,1
Dist_0018,7.0,,1.49,2,,,,Part_0001,1
Dist_0019,7.0,,1.16,2,,,,Part_0001,1
Dist_0020,6.0,,1.57,2,,,,Part_0001,1
Dist_0021,5.0,,1.37,2,,,,Part_0001,1
Dist_0022,6.0,,1.56,2,,,,Part_0001,1
Dist_0023,7.0,,1.18,2,,,,Part_0001,1
Dist_0024,40.03,,12.62,2,,,,Part_0001,1
Dist_0025,52.16,,1.38,2,,,,Part_0001,1
Dist_0026,30.77,,2.02,2,,,,Part_0001,1
Dist_0027,6.0,,1.66,2,,,,Part_0001,1
Dist_0028,5.0,,1.41,2,,,,Part_0001,1
Dist_0029,5.0,,1.64,2,,,,Part_0001,1
Dist_0030,7.0,,1.84,2,,,,Part_0001,1
Dist_0031,5.0,,1.89,2,,,,Part_0001,1
Dist_0032,6.0,,1.33,2,,,,Part_0001,1
Dist_0033,7.0,,1.45,2,,,,Part_0001,1
Dist_0034,6.0,,1.36,2,,,,Part_0001,1
Dist_0035,7.0,,1.13,2,,,,Part_0001,1
Dist_0036,5.0,,1.45,2,,,,Part_0001,1
Dist_0037,6.0,,1.1,2,,,,Part_0001,1
Dist_0038,5.0,,1.04,2,,,,Part_0001,1
Dist_0039,6.0,,1.31,2,,,,Part_0001,1
Dist_0040,6.0,,1.25,2,,,,Part_0001,1
Dist_0041,39.92,,1.88,2,,,,Part_0001,1
Dist_0042,37.94,,1.54,2,,,,Part_0001,1
Dist_0043,6.0,,10.0,2,,,,Part_0001,1
Dist_0044,6.0,,1.09,2,,,,Part_0001,1
Dist_0045,5.0,,1.12,2,,,,Part_0001,1
Dist_0046,33.95,,1.61,2,,,,Part_0001,1
Dist_0047,6.0,,1.98,2,,,,Part_0001,1
Dist_0048,6.0,,1.28,2,,,,Part_0001,1
Manuf_0001,6.0,,1.94,2,,,,Trans_0001,1
Manuf_0002,6.0,,1.12,2,,,,Trans_0002,1
Manuf_0003,5.0,,1.11,2,,,,Trans_0003,1
Manuf_0004,4.0,,1.39,2,,,,Trans_0004,1
Manuf_0005,4.0,,1.53,2,,,,Trans_0005,1
Manuf_0006,4.0,,1.21,2,,,,Trans_0006,1
Manuf_0007,5.0,,1.35,2,,,,Trans_0007,1
Manuf_0008,6.0,,1.84,2,,,,Trans_0008,1
Manuf_0009,6.0,,1.63,2,,,,Trans_0009,1
Manuf_0010,5.0,,1.18,2,,,,Trans_0010,1
Manuf_0011,4.0,,1.29,2,,,,Trans_0011,1
Manuf_0012,5.0,,1.63,2,,,,Trans_0012,1
Manuf_0013,5.0,,1.07,2,,,,Trans_0013,1
Manuf_0014,5.0,,1.42,2,,,,Trans_0014,1
Manuf_0015,5.0,,1.65,2,,,,Trans_0015,1
Manuf_0016,5.0,,1.14,2,,,,Trans_0016,1
Manuf_0017,5.0,,2.01,2,,,,Trans_0017,1
Manuf_0018,5.0,,1.03,2,,,,Trans_0018,1
Manuf_0019,5.0,,1.15,2,,,,Trans_0019,1
Manuf_0020,4.0,,1.39,2,,,,Trans_0020,1
Manuf_0021,6.0,,1.92,2,,,,Trans_0021,1
Manuf_0022,5.0,,1.52,2,,,,Trans_0022,1
Manuf_0023,6.0,,1.87,2,,,,Trans_0023,1
Manuf_0024,5.0,,1.25,2,,,,Trans_0024,1
Manuf_0025,4.0,,2.01,2,,,,Trans_0025,1
Manuf_0026,4.0,,1.29,2,,,,Trans_0026,1
Manuf_0027,4.0,,1.18,2,,,,Trans_0027,1
Manuf_0028,5.0,,1.38,2,,,,Trans_0028,1
Manuf_0029,5.0,,1.08,2,,,,Trans_0029,1
Manuf_0030,5.0,,2.0,2,,,,Trans_0030,1
