stage_id,lead_time,max_s_time,cost_rate,risk_pool,ext_demand_mean,ext_demand_std,ext_demand_thres,up_stages
Dist_0001,20.0,0,1.97,,43.0,60.2,2.054,Manuf_0003,1
Dist_0002,22.0,0,1.97,,69.0,96.6,2.054,Manuf_0003,1
Dist_0003,22.0,0,1.97,,49.0,68.6,2.054,Manuf_0003,1
Dist_0004,19.0,0,1.97,,90.0,126.0,2.054,Manuf_0003,1
Dist_0005,20.0,0,1.97,,80.0,188.0,2.054,Manuf_0003,1
Dist_0006,23.0,0,1.97,,53.0,153.0,2.054,Manuf_0004,1
Dist_0007,23.0,0,1.97,,96.0,122.0,2.054,Manuf_0004,1
Dist_0008,20.0,0,1.97,,251.0,329.0,2.054,Manuf_0004,1
Dist_0009,21.0,0,1.97,,227.0,361.0,2.054,Manuf_0004,1
Dist_0010,24.0,0,1.97,,1532.0,1558.0,2.054,Manuf_0005,1
Dist_0011,20.0,0,1.97,,823.0,1275.0,2.054,Manuf_0005,1
Dist_0012,23.0,0,1.97,,1616.0,1271.0,2.054,Manuf_0005,1
Dist_0013,24.0,0,1.97,,424.0,1318.0,2.054,Manuf_0005,1
Dist_0014,20.0,0,1.97,,1602.0,1595.0,2.054,Manuf_0005,1
Dist_0015,22.0,0,1.97,,433.0,1018.0,2.054,Manuf_0005,1
Dist_0016,21.0,0,1.97,,1228.0,1344.0,2.054,Manuf_0005,1
Dist_0017,24.0,0,1.97,,715.0,1465.0,2.054,Manuf_0005,1
Dist_0018,22.0,0,1.97,,1479.0,3049.0,2.054,Manuf_0005,1
Dist_0019,23.0,0,1.97,,878.0,1361.0,2.054,Manuf_0005,1
Dist_0020,21.0,0,1.97,,689.0,1276.0,2.054,Manuf_0005,1
Dist_0021,22.0,0,1.97,,41.0,82.0,2.054,Manuf_0006,1
Dist_0022,22.0,0,1.97,,33.0,36.0,2.054,Manuf_0006,1
Dist_0023,21.0,0,1.97,,37.0,80.0,2.054,Manuf_0006,1
Dist_0024,24.0,0,1.97,,27.0,55.0,2.054,Manuf_0006,1
Dist_0025,22.0,0,1.97,,72.0,62.0,2.054,Manuf_0006,1
Dist_0026,23.0,0,1.97,,162.0,252.0,2.054,Manuf_0007,1
Dist_0027,22.0,0,1.97,,71.0,111.0,2.054,Manuf_0007,1
Dist_0028,23.0,0,1.97,,90.0,80.0,2.054,Manuf_0007,1
Dist_0029,23.0,0,1.97,,144.0,188.0,2.054,Manuf_0007,1
Dist_0030,21.0,0,1.97,,605.0,1458.0,2.054,Manuf_0008,1
Dist_0031,22.0,0,1.97,,1098.0,1322.0,2.054,Manuf_0008,1
Dist_0032,24.0,0,1.97,,520.0,984.0,2.054,Manuf_0008,1
Dist_0033,20.0,0,1.97,,303.0,937.0,2.054,Manuf_0008,1
Dist_0034,22.0,0,1.97,,1204.0,2226.0,2.054,Manuf_0008,1
Dist_0035,19.0,0,1.97,,996.0,1281.0,2.054,Manuf_0008,1
Dist_0036,19.0,0,1.97,,758.0,1750.0,2.054,Manuf_0008,1
Dist_0037,19.0,0,1.97,,583.0,744.0,2.054,Manuf_0008,1
Dist_0038,20.0,0,1.97,,1001.0,2499.0,2.054,Manuf_0008,1
Dist_0039,24.0,0,1.97,,600.0,987.0,2.054,Manuf_0008,1
Dist_0040,22.0,0,1.97,,261.0,536.0,2.054,Manuf_0008,1
Dist_0041,21.0,0,1.97,,673.0,635.0,2.054,Manuf_0009,1
Dist_0042,20.0,0,1.97,,620.0,730.0,2.054,Manuf_0009,1
Dist_0043,21.0,0,1.97,,1049.0,1017.0,2.054,Manuf_0009,1
Dist_0044,24.0,0,1.97,,317.0,791.0,2.054,Manuf_0009,1
Dist_0045,22.0,0,1.97,,1634.0,1211.0,2.054,Manuf_0009,1
Dist_0046,21.0,0,1.97,,1003.0,1313.0,2.054,Manuf_0009,1
Dist_0047,21.0,0,1.97,,1428.0,2330.0,2.054,Manuf_0009,1
Dist_0048,20.0,0,1.97,,450.0,481.0,2.054,Manuf_0009,1
Dist_0049,22.0,0,1.97,,163.0,271.0,2.054,Manuf_0009,1
Dist_0050,19.0,0,1.97,,873.0,1106.0,2.054,Manuf_0009,1
Dist_0051,21.0,0,1.97,,610.0,1212.0,2.054,Manuf_0009,1
Manuf_0001,19.0,,0.92,2,,,,Part_0001,1,Part_0002,1,Part_0003,1,Part_0004,1,Part_0005,1,Part_0006,1
Manuf_0002,19.0,,0.96,2,,,,Part_0001,1,Part_0002,1,Part_0003,1,Part_0004,1,Part_0005,1,Part_0006,1
Manuf_0003,23.0,,0.43,2,,,,Part_0010,1,Part_0011,1,Part_0019,1,Trans_0003,1,Trans_0004,1
Manuf_0004,19.0,,0.49,2,,,,Part_0012,1,Part_0013,1,Part_0019,1,Trans_0003,1,Trans_0004,1
Manuf_0005,22.0,,1.25,2,,,,Part_0014,1,Part_0015,1,Part_0016,1,Part_0019,1,Trans_0003,1,Trans_0004,1
Manuf_0006,19.6,,0.36,2,,,,Part_0011,1,Part_0017,1,Part_0019,1,Trans_0002,1,Trans_0004,1
Manuf_0007,19.6,,0.97,2,,,,Part_0013,1,Part_0018,1,Part_0019,1,Trans_0002,1,Trans_0004,1
Manuf_0008,19.6,,0.61,2,,,,Part_0016,1,Part_0019,1,Part_0020,1,Part_0021,1,Trans_0002,1,Trans_0004,1
Manuf_0009,19.6,,0.74,2,,,,Part_0016,1,Part_0019,1,Part_0022,1,Part_0023,1,Trans_0001,1,Trans_0002,1,Trans_0005,1
Part_0001,23.0,,0.81,2,,,
Part_0002,21.0,,0.53,2,,,
Part_0003,19.0,,0.9,2,,,
Part_0004,22.0,,0.82,2,,,
Part_0005,22.0,,0.53,2,,,
Part_0006,21.0,,0.46,2,,,
Part_0007,21.5,,0.36,2,,,
Part_0008,21.5,,0.56,2,,,
Part_0009,21.5,,0.47,2,,,
Part_0010,21.0,,0.53,2,,,
Part_0011,22.0,,1.32,2,,,
Part_0012,21.0,,0.37,2,,,
Part_0013,23.0,,0.88,2,,,
Part_0014,23.0,,0.84,2,,,
Part_0015,24.0,,0.88,2,,,
Part_0016,22.0,,0.5,2,,,
Part_0017,19.0,,0.38,2,,,
Part_0018,22.0,,0.67,2,,,
Part_0019,21.0,,0.68,2,,,
Part_0020,21.0,,0.83,2,,,
Part_0021,19.0,,0.49,2,,,
Part_0022,19.0,,0.35,2,,,
Part_0023,21.0,,0.69,2,,,
Trans_0001,7.5,,5.0,2,,,,Part_0007,1
Trans_0002,7.5,,14.0,2,,,,Part_0008,1
Trans_0003,9.3,,21.0,2,,,,Part_0009,1
Trans_0004,20.0,,0.2,2,,,,Manuf_0001,1
Trans_0005,23.0,,0.2,2,,,,Manuf_0002,1
