stage_id,lead_time,max_s_time,cost_rate,risk_pool,ext_demand_mean,ext_demand_std,ext_demand_thres,up_stages
Dist_0001,9.5,,0.06,2,,,,Trans_0001,1
Dist_0002,9.5,,0.06,2,,,,Trans_0002,1
Dist_0003,9.5,,0.06,2,,,,Trans_0003,1
Dist_0004,9.5,,0.06,2,,,,Trans_0004,1
Dist_0005,9.5,,0.06,2,,,,Trans_0005,1
Dist_0006,9.5,,0.06,2,,,,Trans_0006,1
Dist_0007,9.5,,0.08,2,,,,Trans_0007,1
Dist_0008,9.5,,0.08,2,,,,Trans_0008,1
Dist_0009,4.0,,0.6,2,,,,Manuf_0003,1
Dist_0010,4.0,,0.6,2,,,,Manuf_0004,1
Manuf_0001,1.0,,9.44999999999999,2,,,,Dist_0001,1,Dist_0002,1,Dist_0003,1,Dist_0004,1,Dist_0005,1,Dist_0006,1,Dist_0007,1,Dist_0008,1,Part_0011,1,Trans_0009,1,Trans_0010,1
Manuf_0002,1.0,,9.44999999999999,2,,,,Dist_0001,1,Dist_0002,1,Dist_0003,1,Dist_0004,1,Dist_0005,1,Dist_0006,1,Dist_0007,1,Dist_0008,1,Part_0012,1,Trans_0009,1,Trans_0010,1
Manuf_0003,2.7438000000000002,,1.28,2,,,,Trans_0011,1
Manuf_0004,2.7438000000000002,,1.28,2,,,,Trans_0012,1
Part_0001,42.5,,3.25,2,,,
Part_0002,40.0,,11.96,2,,,
Part_0003,17.5,,2.16,2,,,
Part_0004,38.0,,10.14,2,,,
Part_0005,17.5,,2.9,2,,,
Part_0006,40.0,,7.71,2,,,
Part_0007,17.5,,5.45,2,,,
Part_0008,40.0,,6.6,2,,,
Part_0009,40.0,,41.75,2,,,
Part_0010,42.5,,8.19999999999999,2,,,
Part_0011,32.5,,6.34,2,,,
Part_0012,37.5,,4.03,2,,,
Retail_0001,5.0,5,0.0,,653.5,849.55,1.645,Dist_0009,1
Retail_0002,5.0,5,0.0,,882.25,1279.26,1.645,Dist_0010,1
Trans_0001,8.8,,0.34,2,,,,Part_0001,1
Trans_0002,4.0,,0.34,2,,,,Part_0002,1
Trans_0003,4.0,,0.34,2,,,,Part_0003,1
Trans_0004,6.0,,0.34,2,,,,Part_0004,1
Trans_0005,4.0,,0.34,2,,,,Part_0005,1
Trans_0006,6.0,,0.34,2,,,,Part_0006,1
Trans_0007,6.0,,0.34,2,,,,Part_0007,1
Trans_0008,4.0,,0.34,2,,,,Part_0008,1
Trans_0009,2.2,,0.34,2,,,,Part_0009,1
Trans_0010,2.4,,0.34,2,,,,Part_0010,1
Trans_0011,17.5,,0.34,2,,,,Manuf_0001,1
Trans_0012,17.5,,0.34,2,,,,Manuf_0002,1
