stage_id,lead_time,max_s_time,cost_rate,risk_pool,ext_demand_mean,ext_demand_std,ext_demand_thres,up_stages
Dist_0001,120,,0.03,2,,,,Manuf_0002,1
Dist_0002,12,,0.03,2,,,,Dist_0001,1
Dist_0003,40,,0.03,2,,,,Dist_0001,1
Manuf_0001,239,,1.47,2,,,
Manuf_0002,83,,1.63,2,,,,Manuf_0001,1
Manuf_0003,18,,0.0,2,,,,Dist_0002,1
Manuf_0004,62,,0.24,2,,,,Dist_0002,1
Manuf_0005,52,,0.3,2,,,,Dist_0002,1
Manuf_0006,67,,0.09,2,,,,Dist_0002,1
Manuf_0007,37,,0.07,2,,,,Dist_0002,1
Manuf_0008,61,,0.29,2,,,,Dist_0002,1
Manuf_0009,50,,0.29,2,,,,Dist_0002,1
Manuf_0010,72,,0.12,2,,,,Dist_0002,1
Manuf_0011,51,,0.3,2,,,,Dist_0002,1
Manuf_0012,41,,0.37,2,,,,Dist_0002,1
Manuf_0013,60,,0.33,2,,,,Dist_0002,1
Manuf_0014,17,,0.01,2,,,,Dist_0003,1
Manuf_0015,16,,0.01,2,,,,Dist_0003,1
Manuf_0016,16,,0.02,2,,,,Dist_0003,1
Manuf_0017,8,,0.02,2,,,,Manuf_0014,1
Manuf_0018,9,,0.06,2,,,,Manuf_0014,1
Manuf_0019,12,,0.06,2,,,,Manuf_0014,1
Manuf_0020,13,,0.06,2,,,,Manuf_0014,1
Manuf_0021,12,,0.06,2,,,,Manuf_0014,1
Manuf_0022,11,,0.04,2,,,,Manuf_0014,1
Manuf_0023,13,,0.04,2,,,,Manuf_0014,1
Manuf_0024,8,,0.05,2,,,,Manuf_0014,1
Manuf_0025,9,,0.06,2,,,,Manuf_0014,1
Manuf_0026,14,,0.08,2,,,,Manuf_0014,1
Manuf_0027,11,,0.06,2,,,,Manuf_0014,1
Manuf_0028,9,,0.04,2,,,,Manuf_0014,1
Manuf_0029,7,,0.06,2,,,,Manuf_0014,1
Manuf_0030,12,,0.04,2,,,,Manuf_0014,1
Manuf_0031,14,,0.06,2,,,,Manuf_0014,1
Manuf_0032,11,,0.03,2,,,,Manuf_0014,1
Manuf_0033,11,,0.02,2,,,,Manuf_0014,1
Manuf_0034,10,,0.06,2,,,,Manuf_0014,1
Manuf_0035,9,,0.1,2,,,,Manuf_0014,1
Manuf_0036,11,,0.09,2,,,,Manuf_0014,1
Manuf_0037,13,,0.06,2,,,,Manuf_0014,1
Manuf_0038,6,,0.06,2,,,,Manuf_0014,1
Manuf_0039,13,,0.07,2,,,,Manuf_0014,1
Manuf_0040,10,,0.07,2,,,,Manuf_0014,1
Manuf_0041,12,,0.06,2,,,,Manuf_0014,1
Manuf_0042,12,,0.04,2,,,,Manuf_0014,1
Manuf_0043,7,,0.02,2,,,,Manuf_0014,1
Manuf_0044,10,,0.05,2,,,,Manuf_0014,1
Manuf_0045,10,,0.06,2,,,,Manuf_0014,1
Manuf_0046,8,,0.06,2,,,,Manuf_0014,1
Manuf_0047,12,,0.08,2,,,,Manuf_0014,1
Manuf_0048,11,,0.07,2,,,,Manuf_0014,1
Manuf_0049,8,,0.06,2,,,,Manuf_0015,1
Manuf_0050,13,,0.07,2,,,,Manuf_0015,1
Manuf_0051,11,,0.08,2,,,,Manuf_0015,1
Manuf_0052,10,,0.07,2,,,,Manuf_0015,1
Manuf_0053,17,,0.1,2,,,,Manuf_0015,1
Manuf_0054,12,,0.06,2,,,,Manuf_0015,1
Manuf_0055,18,,0.02,2,,,,Manuf_0015,1
Manuf_0056,9,,0.05,2,,,,Manuf_0015,1
Manuf_0057,10,,0.12,2,,,,Manuf_0015,1
Manuf_0058,13,,0.06,2,,,,Manuf_0015,1
Manuf_0059,13,,0.02,2,,,,Manuf_0015,1
Manuf_0060,7,,0.06,2,,,,Manuf_0015,1
Manuf_0061,8,,0.07,2,,,,Manuf_0015,1
Manuf_0062,8,,0.06,2,,,,Manuf_0015,1
Manuf_0063,8,,0.05,2,,,,Manuf_0015,1
Manuf_0064,12,,0.06,2,,,,Manuf_0015,1
Manuf_0065,9,,0.09,2,,,,Manuf_0015,1
Manuf_0066,13,,0.09,2,,,,Manuf_0015,1
Manuf_0067,8,,0.07,2,,,,Manuf_0015,1
Manuf_0068,10,,0.04,2,,,,Manuf_0015,1
Manuf_0069,10,,0.07,2,,,,Manuf_0015,1
Manuf_0070,13,,0.09,2,,,,Manuf_0015,1
Manuf_0071,12,,0.08,2,,,,Manuf_0015,1
Manuf_0072,8,,0.05,2,,,,Manuf_0015,1
Manuf_0073,13,,0.02,2,,,,Manuf_0015,1
Manuf_0074,11,,0.04,2,,,,Manuf_0015,1
Manuf_0075,10,,0.06,2,,,,Manuf_0015,1
Manuf_0076,11,,0.08,2,,,,Manuf_0015,1
Manuf_0077,11,,0.04,2,,,,Manuf_0015,1
Manuf_0078,9,,0.1,2,,,,Manuf_0016,1
Manuf_0079,11,,0.06,2,,,,Manuf_0016,1
Manuf_0080,11,,0.06,2,,,,Manuf_0016,1
Manuf_0081,8,,0.08,2,,,,Manuf_0016,1
Manuf_0082,9,,0.06,2,,,,Manuf_0016,1
Manuf_0083,13,,0.12,2,,,,Manuf_0016,1
Manuf_0084,10,,0.09,2,,,,Manuf_0016,1
Manuf_0085,11,,0.06,2,,,,Manuf_0016,1
Manuf_0086,12,,0.05,2,,,,Manuf_0016,1
Manuf_0087,8,,0.09,2,,,,Manuf_0016,1
Manuf_0088,13,,0.06,2,,,,Manuf_0016,1
Manuf_0089,7,,0.03,2,,,,Manuf_0016,1
Manuf_0090,15,,0.02,2,,,,Manuf_0016,1
Manuf_0091,14,,0.07,2,,,,Manuf_0016,1
Manuf_0092,13,,0.05,2,,,,Manuf_0016,1
Manuf_0093,12,,0.09,2,,,,Manuf_0016,1
Manuf_0094,15,,0.11,2,,,,Manuf_0016,1
Manuf_0095,10,,0.08,2,,,,Manuf_0016,1
Manuf_0096,7,,0.05,2,,,,Manuf_0016,1
Manuf_0097,14,,0.05,2,,,,Manuf_0016,1
Manuf_0098,10,,0.09,2,,,,Manuf_0016,1
Manuf_0099,8,,0.06,2,,,,Manuf_0016,1
Manuf_0100,12,,0.04,2,,,,Trans_0002,1
Manuf_0101,11,,0.06,2,,,,Trans_0002,1
Manuf_0102,15,,0.06,2,,,,Trans_0002,1
Manuf_0103,10,,0.04,2,,,,Trans_0002,1
Manuf_0104,14,,0.04,2,,,,Trans_0002,1
Manuf_0105,7,,0.05,2,,,,Trans_0002,1
Manuf_0106,9,,0.04,2,,,,Trans_0002,1
Manuf_0107,27,,0.05,2,,,,Trans_0002,1
Manuf_0108,10,,0.06,2,,,,Trans_0002,1
Manuf_0109,23,,0.05,2,,,,Trans_0002,1,Trans_0003,1
Manuf_0110,14,,0.05,2,,,,Trans_0003,1
Manuf_0111,12,,0.04,2,,,,Trans_0003,1
Manuf_0112,7,,0.05,2,,,,Trans_0003,1
Manuf_0113,13,,0.04,2,,,,Trans_0003,1
Manuf_0114,12,,0.03,2,,,,Trans_0003,1
Manuf_0115,11,,0.05,2,,,,Trans_0003,1
Manuf_0116,12,,0.05,2,,,,Trans_0004,1
Manuf_0117,14,,0.04,2,,,,Trans_0004,1
Manuf_0118,13,,0.05,2,,,,Trans_0004,1
Manuf_0119,12,,0.05,2,,,,Trans_0004,1
Manuf_0120,26,,0.03,2,,,,Trans_0004,1
Manuf_0121,22,,0.03,2,,,,Trans_0004,1
Manuf_0122,28,,0.03,2,,,,Trans_0004,1
Manuf_0123,24,,0.05,2,,,,Trans_0004,1
Retail_0001,19,30,0.0,,43.09,57.46,1.751,Dist_0001,1
Retail_0002,18,0,0.0,,113.65,60.78,1.751,Manuf_0004,1
Retail_0003,10,0,0.0,,79.22,3.72,1.751,Manuf_0005,1
Retail_0004,10,0,0.0,,1781.76,598.88,1.751,Manuf_0006,1
Retail_0005,9,0,0.0,,1536.92,916.76,1.751,Manuf_0007,1
Retail_0006,13,0,0.0,,155.97,16.72,1.751,Manuf_0008,1
Retail_0007,17,0,0.0,,72.25,160.48,1.751,Manuf_0009,1
