stage_id,lead_time,max_s_time,cost_rate,risk_pool,ext_demand_mean,ext_demand_std,ext_demand_thres,up_stages
Dist_0001,12,,0.83,2,,,,Manuf_0042,1
Dist_0002,16,,1.05,2,,,,Manuf_0043,1
Dist_0003,12,,0.98,2,,,,Manuf_0044,1
Dist_0004,11,,1.23,2,,,,Manuf_0045,1
Dist_0005,17,,0.87,2,,,,Manuf_0046,1
Dist_0006,12,,1.32,2,,,,Manuf_0047,1
Dist_0007,19,,1.28,2,,,,Manuf_0048,1
Dist_0008,12,,0.64,2,,,,Manuf_0049,1
Dist_0009,13,,1.07,2,,,,Manuf_0050,1
Dist_0010,16,,0.8,2,,,,Manuf_0051,1
Dist_0011,20,,0.71,2,,,,Manuf_0052,1
Dist_0012,13,,0.98,2,,,,Manuf_0053,1
Dist_0013,10,,0.78,2,,,,Dist_0001,1
Dist_0014,5,0,0.78,,26.13,47.15,1.751,Dist_0001,1
Dist_0015,6,0,0.8,,10.92,11.59,1.751,Dist_0001,1
Dist_0016,3,0,0.86,,21.35,28.05,1.751,Dist_0001,1
Dist_0017,7,,0.78,2,,,,Dist_0002,1
Dist_0018,4,0,0.43,,27.69,70.15,1.751,Dist_0002,1
Dist_0019,4,0,0.82,,26.73,62.77,1.751,Dist_0002,1
Dist_0020,10,0,0.65,,20.43,21.45,1.751,Dist_0002,1
Dist_0021,9,,1.11,2,,,,Dist_0003,1
Dist_0022,3,0,0.7,,27.17,39.33,1.751,Dist_0003,1
Dist_0023,7,0,1.12,,26.25,40.47,1.751,Dist_0003,1
Dist_0024,5,0,0.95,,23.73,57.9,1.751,Dist_0003,1
Dist_0025,7,,0.95,2,,,,Dist_0004,1
Dist_0026,4,0,0.66,,27.61,67.41,1.751,Dist_0004,1
Dist_0027,8,0,1.14,,26.65,52.1,1.751,Dist_0004,1
Dist_0028,5,0,0.55,,23.69,78.16,1.751,Dist_0004,1
Dist_0029,11,,0.62,2,,,,Dist_0005,1
Dist_0030,6,0,0.46,,26.09,31.53,1.751,Dist_0005,1
Dist_0031,8,0,1.42,,27.05,72.56,1.751,Dist_0005,1
Dist_0032,6,0,0.73,,17.98,18.63,1.751,Dist_0005,1
Dist_0033,11,,0.83,2,,,,Dist_0006,1
Dist_0034,5,0,0.52,,9.14,18.96,1.751,Dist_0006,1
Dist_0035,6,0,0.9,,24.01,80.79,1.751,Dist_0006,1
Dist_0036,7,0,1.11,,23.85,34.56,1.751,Dist_0006,1
Dist_0037,12,,0.85,2,,,,Dist_0007,1
Dist_0038,7,0,0.48,,10.17,20.12,1.751,Dist_0007,1
Dist_0039,5,0,1.01,,24.01,72.15,1.751,Dist_0007,1
Dist_0040,2,0,0.95,,8.39,14.01,1.751,Dist_0007,1
Dist_0041,8,,0.52,2,,,,Dist_0008,1
Dist_0042,5,0,0.48,,19.69,39.01,1.751,Dist_0008,1
Dist_0043,9,0,1.04,,7.91,8.76,1.751,Dist_0008,1
Dist_0044,3,0,0.94,,15.83,17.76,1.751,Dist_0008,1
Dist_0045,10,,1.02,2,,,,Dist_0009,1
Dist_0046,7,0,0.68,,19.95,32.69,1.751,Dist_0009,1
Dist_0047,9,0,1.58,,12.59,13.42,1.751,Dist_0009,1
Dist_0048,6,0,1.08,,11.51,9.57,1.751,Dist_0009,1
Dist_0049,12,,0.87,2,,,,Dist_0010,1
Dist_0050,2,0,0.7,,25.89,57.41,1.751,Dist_0010,1
Dist_0051,7,0,1.01,,23.65,79.6,1.751,Dist_0010,1
Dist_0052,3,0,0.81,,25.66,27.39,1.751,Dist_0010,1
Dist_0053,8,,0.84,2,,,,Dist_0011,1
Dist_0054,2,0,0.48,,27.17,82.83,1.751,Dist_0011,1
Dist_0055,9,0,1.49,,27.41,44.12,1.751,Dist_0011,1
Dist_0056,7,0,1.16,,23.57,54.18,1.751,Dist_0011,1
Dist_0057,6,,1.02,2,,,,Dist_0012,1
Dist_0058,7,0,1.31,,21.36,16.81,1.751,Dist_0012,1
Dist_0059,7,0,1.13,,26.09,70.26,1.751,Dist_0012,1
Dist_0060,4,0,0.99,,25.69,67.54,1.751,Dist_0012,1
Dist_0061,3,0,1.16,,7.36,16.83,1.751,Dist_0013,1
Dist_0062,4,0,0.29,,28.81,78.36,1.751,Dist_0013,1
Dist_0063,4,0,0.29,,14.35,20.23,1.751,Dist_0017,1
Dist_0064,4,0,0.56,,14.91,41.77,1.751,Dist_0017,1
Dist_0065,4,0,0.39,,14.63,25.33,1.751,Dist_0021,1
Dist_0066,3,0,0.4,,12.75,35.96,1.751,Dist_0021,1
Dist_0067,5,0,0.33,,17.15,21.77,1.751,Dist_0025,1
Dist_0068,2,0,0.42,,12.95,45.62,1.751,Dist_0025,1
Dist_0069,4,0,0.35,,15.23,17.8,1.751,Dist_0029,1
Dist_0070,3,0,0.34,,11.83,17.05,1.751,Dist_0029,1
Dist_0071,4,0,0.34,,25.65,38.61,1.751,Dist_0033,1
Dist_0072,2,0,0.26,,25.85,71.97,1.751,Dist_0033,1
Dist_0073,5,0,0.33,,27.53,77.39,1.751,Dist_0037,1
Dist_0074,2,0,0.3,,28.09,58.47,1.751,Dist_0037,1
Dist_0075,4,0,0.27,,8.39,15.51,1.751,Dist_0041,1
Dist_0076,3,0,0.2,,7.44,25.52,1.751,Dist_0041,1
Dist_0077,3,0,0.28,,11.75,12.36,1.751,Dist_0045,1
Dist_0078,4,0,0.17,,8.39,16.34,1.751,Dist_0045,1
Dist_0079,3,0,0.37,,8.63,21.86,1.751,Dist_0049,1
Dist_0080,3,0,0.21,,6.72,14.26,1.751,Dist_0049,1
Dist_0081,3,0,0.33,,14.71,38.46,1.751,Dist_0053,1
Dist_0082,3,0,0.33,,10.67,27.17,1.751,Dist_0053,1
Dist_0083,3,0,0.3,,14.55,38.18,1.751,Dist_0057,1
Dist_0084,4,0,0.29,,16.43,18.42,1.751,Dist_0057,1
Manuf_0001,2,,10.4,2,,,,Part_0001,1
Manuf_0002,4,,1.29,2,,,,Part_0002,1,Part_0003,1
Manuf_0003,3,,7.06,2,,,,Part_0002,1,Part_0003,1
Manuf_0004,81,,0.45,2,,,
Manuf_0005,4,,21.26,2,,,,Part_0003,1,Part_0004,1
