stage_id,lead_time,max_s_time,cost_rate,risk_pool,ext_demand_mean,ext_demand_std,ext_demand_thres,up_stages
Manuf_0001,19.75,,18454,2,,,,Trans_0001,1,Trans_0002,1,Trans_0005,1,Trans_0007,1,Trans_0008,1,Trans_0009,1,Trans_0010,1,Trans_0011,1,Trans_0012,1,Trans_0013,1
Manuf_0002,18.0,,20605,2,,,,Trans_0001,1,Trans_0002,1,Trans_0006,1,Trans_0007,1,Trans_0008,1,Trans_0009,1,Trans_0010,1,Trans_0011,1,Trans_0012,1,Trans_0013,1
Manuf_0003,24.0,,20375,2,,,,Trans_0001,1,Trans_0003,1,Trans_0005,1,Trans_0008,1,Trans_0009,1,Trans_0010,1,Trans_0011,1,Trans_0012,1,Trans_0013,1
Manuf_0004,20.25,,18383,2,,,,Trans_0001,1,Trans_0003,1,Trans_0006,1,Trans_0007,1,Trans_0008,1,Trans_0009,1,Trans_0010,1,Trans_0011,1,Trans_0012,1,Trans_0013,1
Manuf_0005,19.75,,15355,2,,,,Trans_0001,1,Trans_0004,1,Trans_0005,1,Trans_0007,1,Trans_0008,1,Trans_0009,1,Trans_0010,1,Trans_0011,1,Trans_0012,1,Trans_0013,1
Manuf_0006,19.75,,17021,2,,,,Trans_0001,1,Trans_0004,1,Trans_0006,1,Trans_0007,1,Trans_0008,1,Trans_0009,1,Trans_0010,1,Trans_0011,1,Trans_0012,1,Trans_0013,1
Part_0001,6.0,,722,2,,,
Part_0002,8.0,,5436,2,,,
Part_0003,9.0,,4741,2,,,
Part_0004,7.0,,4268,2,,,
Part_0005,16.0,,8181,2,,,
Part_0006,7.0,,7911,2,,,
Part_0007,8.0,,20130,2,,,
Part_0008,22.0,,10018,2,,,
Part_0009,3.0,,9622,2,,,
Part_0010,7.0,,11764,2,,,
Part_0011,8.0,,9753,2,,,
Part_0012,1.0,,9679,2,,,
Part_0013,4.0,,40663,2,,,
Retail_0001,4.0,5,0,,1.0,1.2,1.645,Trans_0014,1
Retail_0002,5.0,5,0,,0.6,0.36,1.645,Trans_0015,1
Retail_0003,6.0,5,0,,0.6,0.48,1.645,Trans_0016,1
Retail_0004,6.0,5,0,,1.0,1.3,1.645,Trans_0017,1
Retail_0005,5.0,5,0,,0.8,0.48,1.645,Trans_0018,1
Retail_0006,5.0,5,0,,0.7,1.26,1.645,Trans_0019,1
Retail_0007,6.0,5,0,,0.4,0.32,1.645,Trans_0020,1
Retail_0008,5.0,5,0,,1.0,2.0,1.645,Trans_0021,1
Retail_0009,4.0,5,0,,0.6,0.39,1.645,Trans_0022,1
Retail_0010,4.0,5,0,,1.0,1.05,1.645,Trans_0023,1
Retail_0011,5.0,5,0,,0.5,1.0,1.645,Trans_0024,1
Retail_0012,6.0,5,0,,1.2,1.44,1.645,Trans_0025,1
Retail_0013,6.0,5,0,,0.6,0.78,1.645,Trans_0026,1
Retail_0014,5.0,5,0,,0.6,0.72,1.645,Trans_0027,1
Retail_0015,6.0,5,0,,0.6,0.6,1.645,Trans_0028,1
Retail_0016,6.0,5,0,,0.6,0.6,1.645,Trans_0029,1
Retail_0017,5.0,5,0,,0.6,0.78,1.645,Trans_0030,1
Retail_0018,4.0,5,0,,0.6,0.75,1.645,Trans_0031,1
Trans_0001,9.0,,71,2,,,,Part_0001,1
Trans_0002,6.0,,108,2,,,,Part_0002,1
Trans_0003,8.0,,111,2,,,,Part_0003,1
Trans_0004,6.0,,94,2,,,,Part_0004,1
Trans_0005,9.0,,105,2,,,,Part_0005,1
Trans_0006,8.0,,123,2,,,,Part_0006,1
Trans_0007,7.0,,279,2,,,,Part_0007,1
Trans_0008,5.0,,266,2,,,,Part_0008,1
Trans_0009,6.0,,76,2,,,,Part_0009,1
Trans_0010,21.0,,392,2,,,,Part_0010,1
Trans_0011,6.0,,0,2,,,,Part_0011,1
Trans_0012,5.0,,154,2,,,,Part_0012,1
Trans_0013,6.0,,107,2,,,,Part_0013,1
Trans_0014,2.0,,577,2,,,,Manuf_0001,1
Trans_0015,2.0,,582,2,,,,Manuf_0001,1
Trans_0016,2.0,,710,2,,,,Manuf_0001,1
Trans_0017,3.0,,705,2,,,,Manuf_0002,1
Trans_0018,2.0,,746,2,,,,Manuf_0002,1
Trans_0019,2.0,,562,2,,,,Manuf_0002,1
Trans_0020,2.0,,747,2,,,,Manuf_0003,1
Trans_0021,2.0,,599,2,,,,Manuf_0003,1
Trans_0022,3.0,,641,2,,,,Manuf_0003,1
Trans_0023,3.0,,562,2,,,,Manuf_0004,1
Trans_0024,3.0,,569,2,,,,Manuf_0004,1
Trans_0025,3.0,,714,2,,,,Manuf_0004,1
Trans_0026,3.0,,790,2,,,,Manuf_0005,1
Trans_0027,3.0,,694,2,,,,Manuf_0005,1
Trans_0028,4.0,,622,2,,,,Manuf_0005,1
Trans_0029,3.0,,743,2,,,,Manuf_0006,1
Trans_0030,3.0,,565,2,,,,Manuf_0006,1
Trans_0031,3.0,,808,2,,,,Manuf_0006,1
